佛	Buddha
导师	advisor;tutor
尊者	Ven.
尊师重道	respecting teachers and teachings
小乘	Hinayana
小年	Preliminary Eve
小微博，大缘起	Micro Blog, Macro Causation
少欲知足	little desire and contentment
尘垢	attachments
尼山世界文明论坛	Nishan World Civilization Forum
尼泊尔蓝毗尼访问年	Lumbini Visit Year
尼泊尔驻华大使馆	the Nepal Embassy in China
局长	Director; director general
居士	laypeople
居士服	clothing for laypeople
居士楼	Laypeople Building
居士团队	laypeople; laypeople teamwork
居士寮房规约	Laypeople Dormitory Regulation
居士挂单规约	Laypeople Registration Regulation
居士斋堂	Laypeople Dining Hall
居士行仪规约	Laypeople Conduct and Behavior Regulation
山上	in the mountain
山下	downtown
山东大学	Shandong University
山东大学儒学高等研究院	Advanced Institute of Confucian Studies, Shandong University
岩洞	cave
川派古琴家	Guqin (an ancient 7-string  instrument) master of Sichuan School
巡寮	patrolling monks' dormitories
巡礼	a tour of the Monastery
工巧明	All technology, tecniques,arithmetic etc
工程部	Construction Department
巴利文	Pāli
巴利三藏	Pāli Sanzo
巴利语系	Pāli Language Department
市长	Mayor
市委书记	party secretary
师父	Venerable Master
师长	teachers
师法友	teachers, teachings and companions
常住	resident
常住义工	resident volunteers
常务理事	the executive director
平安面	noodles
平安小吃	snacks bearing auspicious meaning
平等心	the mind of equality
幸福观	View of Happiness
幸福列车	Happiness Express
广行	vast conduct
广大供养	Grand Offerings
广度有情/广度众生	enlighten all sentient beings
广济寺	Guangji Monastery
广结善缘	create good karma; cultivate affinities
庄严	solemn;dignified
庄严国土	Glorify the Country
库房	storehouse;storeroom;warehouse
应化	incarnation
应量器	the utensil corresponding to the Dharma
底蕴	background;foundation;heritage
度化	relieve and liberate;deliver
建寺安僧	build temple and settle monks;
开光	consecration; consecrate; open  light
开堂	Ordination
开班	The opening ceremony; officially established; class opening;
开示	Dharma talk;instruction
开缘	be allowed to come loose
引文	quotation
弘传	promote;spread; propagate
弘戒	spreading precepts;promote percepts;disseminate percepts
弘扬	promote; develop and expand; advance and enrich
弘法	promote Dharma
弘宣部	Publicity Department
弘法事业	Dharma promoting undertakings
弟子	disciples;students
弟子规	Standards for Students
弥勒菩萨	Maitreya Bodhisattva
弥勒菩萨上生经	Ascent Sutra of Maitreya Bodhisattva
弥勒菩萨圣诞日/弥勒圣诞	the birthday of Maitreya Bodhisattva
当下	every moment we have; the present;present
当值	on duty
彩绘	color-painting
影片导视	movie guidance
往生	rebirth
律仪	precepts and rituals
律典	vinaya
律制	regulations for Precepts
律宗	Vinaya
律师	Vinaya Master
律藏	Vinaya Pitaka
律风	precept style
律典校注	vinaya collating and annotating
得戒和尚	Precept Transmitter
得证圣果	attain enlightenment
德国佛教联盟	German Buddhist Union
德国汉堡大学梵文写本研究所	Sanskrit Manuscript Institute in University of Hamburg in Germany
德尘居	Dechenju Building
心地	mind
心得	experience
心念	minds
心栈	Charity Stand
心灯	Heart Light
心病	spiritual disease
心经	Heart Sutra
心血	painstaking efforts
心开意解	the knots of one's mind were all untied
心文化	Mind Culture class
心灵手巧	ingenious
心路历程	mental journey
忆念	remind
忏悔	repent;repentance;Make Confession
志愿者	volunteer
志求佛道	attain sublime enlightenment
念佛	chant the Buddha’s name
念供	chanting and offering
念诵	chant
念佛团	Group Chanting Amitabha Buddha’s Name
念佛机	the Buddha-name-chanting player
念恩祈福中秋法会	Mid-Autumn Festival Dharma Assembly for remembering kindness and praying for blessings
思维	reflect
思想家	ideologist
总书记	General Secretary
总前行	the final preparation meeting
总务部长	Director of the General Affairs Department
总结行	concluding meeting
总领事	Consul-General
恩师	esteemed teacher;respected teacher
恩德	merits and virtues;kindness;virtuous kindness
恭敬	deferential attitude
恭迎	welcome
恭送	a farewell to
恳亲会	Family Reunion Association
悉达多太子	Prince Siddhartha
悎寤瑜伽	Acting Properly When Going to Sleep
悟道	attain one's enlightenment
悠扬净纯香	Melodious and Pure Incense
悲、智、愿、行	compassion, wisdom, vows and conduct
悲宏誓愿	great compassion and aspiration
悲心愿力	compassion and aspiration
惜福	cherishing blessings
意趣	connotation
意大利华侨华人佛教总会	Overseas Chinese Buddhist Association in Italy
感念	remember with gratitude
感恩	be grateful /thankful
感悟人生	Understanding Life
愿力	aspiration
愿心	aspiration
慈善	charity
慈心	compassion
慈悲	compassion
慈愍	lovingkindness and compassion
慈善部	Charity Department
慈善义工协会	Beijing Charity Volunteer Association
慈善公益事业	philanthropic activities
慈善公益组织联合会	Philanthropy Federation
慈孝文化	Mercy and Filial Piety Culture
慈悲心	heart of compassion
慈悲济世	compassionately save the world
慧心所	Mental Functions of Wisdom
慧炬出版社	Torch of Wisdom Publishing House
成佛	attain Buddhahood
成办	hold
成道	enlightenment;attain enlightment
成圣成贤	Becoming saints and sages
戒会	Dharma Assembly of taking precepts
戒制	precepts; system of precepts
戒子	preceptor
戒学	precepts study
戒律	discipline; precepts
戒期	precept period
戒条	precepts
戒相	form/appearance of precepts
戒本疏	Commentary on the Book of the Prece
手提肩挑	hand and shoulder carried
打坐	meditation
打板	beat the board
打法器	play Buddhist instruments
托钵应供	hold the alms bowls and receive offerings from the public
执事	Executives
执著	attachment
执行董事	Executive Director
扫塔	sweeping pagoda
承事	serve
承担	undertake
承天寺	Chengtian Monastery
承担心	commitment
抄经	Transcribing scriptures;sutra calligraphy
护坡	slope protection
护持	enshrine ;shield and sustain
护法	protector; guardian
护生	care for the live beings
报恩	repay gratitude
报慰	repay
担当	take responsibilities;responsibility
拈香	burn incense
拉拔	mutual help;assistance
拜佛	worship Buddha
拜年	pay New Year’s call
拜忏	bow for repentance
持守	observe precepts
持戒	observe the precepts
挂单	put up at a temple for short a stay
按需分配	allocated according to need
挥毫泼墨	wielded brush and splashed ink with interest
捐衣	clothing donation
授戒	taking Precepts
授衣	Confer Kathina Robes
授课	give lesson
授功德衣	forsaking Robes of Merits
授牌典礼	plaque presentation ceremony
排版	typesetting
排班	line up
接引	welcome;guide
接驾	warmly receive
接待室	reception room
接待组	reception group
提策	remind and encourage
揭牌	unveile the plaque; unveiling
携手同心	join hands with one heart
摄持	be imbued with
摩诃朱拉隆功大学	Maha Chulalongkornrajavidyalaya University (MCU)
撞钟祈福	strike the bell for blessing
放生	Free Captive Animals;liberate captured animals
放香	rest
效学	to learn from
教义	doctrines
教习	educating and learning
教制	the construction of a Buddhist education system; education system
教化	education; teaching
教法	teaching method;  Dharma teachings; Buddhist doctrines
教派	denomination;religion sects
教理	doctrine;Theories and Thoughts
教界	religious communities
教诫	Obeying Disciplines; instruct; precepts
教风	teaching style;religious disciplines
教功德	teaching and virtues;  merits of teaching; contribution of teaching
教务长	academic dean
教化部	Teaching Department
教职人员	teaching staff; Religious Faculty
教证功德	merits and virtues of Dharma teaching and enlightenment
教诫新学比丘行护律仪集解	Exhortation for New Bhiksus to Protect Precepts
敞开心扉	open heart to;open mind to
散乱	distracted
敦煌	Dunhuang
敦煌古本	ancient Dunhuang version
敦煌文化弘扬基金会	Dunhuang Culture Promotion Foundation
敬老孝亲	filial piety
整肃威仪	impressive, dignified, and strict manners
文宣	Publicity
文化学	cultural science
文化部	the Cultural Department
文化体验	cultural experience
文化大观园	Cultural Kaleidoscope
文化强国	Culture-Powerful Nation
文化战略	cultural strategic , cultural strategy
文化自信	cultural confidence
文化自强	cultural self-improvement
文化自觉	cultural consciousness
文化软实力	cultural soft power
文化部外联局	the Bureau of External Cultural Relations of the Ministry of Culture
文明对话	cultural dialogue
文殊供	made offering to Bodhisattva Manjusri
文殊院	Wenshu Academy
文殊师利授记经	The Sutra of the Manjushri's Bestowal of Predictions
文殊菩萨	Bodhisattva Manjusri
文集数据库	Document Database
斋僧	make offering to monks
斋堂	Dining Hall
斋天	Offering Ceremony for Celestial Guardians
断恶修善	turn away from evil and do good
新戒	new precept
新华社	Xinhua News Agency
新年寄语	new year guidance
新戒比丘	newly ordained monks
新春佳节	the Spring Festival
新春华严法会	Avatamsaka Dharma Assembly
新春座谈会	New Spring Symposium
新春祝福	New Years wishes
新春联谊会	Spring Festival Sodality
新民网	xinmin.cn
新泽西大学	University of New Jersey
方丈	Abbot
方便	convenient;Convenience
方便之门	portal;convenient way
施茶	offer free tea
无上	great
无常	impermanence
无我	selfless , selflessness
无明	Ignorance
无边众生	countless livingbeings
无限生命	infinite life
日中临黄友好协会	the Japan-China Rinzai and Obaku Association for Friendship and Exchanges
日持上人显彰会	Japanese Nichiji Shonin Kensyokai
日本临济宗妙心寺派灵云院	Reiunin Temple, Myoshin-ji School of Rinzai sect in Japan
日本佛教会	Japan Buddhist Federation
日本守护大地协会	the Association to Preserve the Earth in Japan
日莲宗	Japanese Nichiren Buddhism
早斋	breakfast
早晚殿/早晚功课	morning and evening recitation
早殿/早课	morning chanting
时代因缘	particular conditions of the era
明相	vision of radiance
明心阁	Mingxin Pavilion
易经	The Book of Changes
星岛日报	Sing Tao Daily
春节	the Spring Festival
春运	the Spring Festival Transportation
春节团拜会	Spring Festival Celebration Gathering
春节拜万佛祈福法会	Dharma Assembly for All Buddha Worshiping and Bliss Praying
春节祈福华严法会	The Blessing and Avatamsaka Dharma Assembly
晚殿/晚课	evening recitation
晨起缘念	daily morning meeting
普佛	praying for auspiciousness
普世价值	universal values
普茶晚会	Evening Tea Party
普贤供	make offerings to Samantabhadra Bhodisattva
普贤菩萨	Samantabhadra Bodhisattva
普贤讲堂	Pu Xian Buddhist Society
智慧	wisdom
智慧显发	wisdom attained
智能终端	Intelligent Terminal
暖棚	green house
曙光	The Dawn
曲阜圣源书院	Nishan Sheng Yuan College in Qufu
曹溪宗	Jogye Order
月饼	mooncake
有序	orderly
有情	sentient beings
有机农业	Organic Agriculture
有机蔬菜	organic vegetables
有条不紊	in an orderly manner
有缘众生	sentient beings
朝圣	pilgrimage
朝山	pilgrimage
朝拜	worship
朝礼	worship
朝外心栈	Chaowai Charity Stand of Beijing Ren Ai Charity Foundation
朝暮课诵	morning and evening chanting
朝阳寺	Chaoyang Monastery
木鱼基金会	Woodenfish Project
本师	the Fundamental Teacher
本有	original
本生	past life
本土化	localization
杂阿含经	Samyuktagama Sutra
来访	come to visit; visit
来之不易	hard-work; hard-earned
树脂地灯	Resin ground lamp
栗子园	chestnut orchard
栗子树	chestnut tree
栗子蘑	chestnut mushrooms
校勘	collation;collate; emendation
校对	proofread; collate
校注	proofreade and annotate ;check and annotate
校释	collation & annotation;collate and annotate
档案室	Archives Room
档案局	Archive Bureau
档案局业务指导科	archives and records management guidance department
梅兰芳大剧院	Mei Lanfang Theatre
梯次	in Echelon
梵呗	Buddhist chanting
梵文	Sanskrit
梵文罗马转写体	Sanskrit in Roman letters
楞严经	Surangama Sutra
楞严祈福法会	Surangama Dharma Assembly for Blessing
槐轩学说	Huai Xuan Theory
次第	stages
欢喜	be joyful;happy;delighted rejoice
欢聚一堂	gathered happily together;gathered joufully
欧洲佛教联盟	European Buddhist Union
止息	go to bed
正信	true belief
正念	right mindfulness
正月	the first lunar month
正知	right view
正见	Right View
正业楼	Zhengye Building
正心神柏香	Positive Mind Cypress Incense
正思维楼	Zhengsiwei Building
正法久住	the everlasting dwelling of Proper Dharma
正法道场	a monastery full of proper Dharma
正知见	correct understanding
正能量	positive energy
正见楼	Zhengjian Building
此岸•彼岸	From This Shore to That Shore
殊胜	special and extraordinary
殊胜难得	special and precious
殷重	solemn
殿堂	hall;palace hall
比丘	Bhiksu;Monks
比丘尼	Buddhist nun
比丘戒	Bhikshu Precepts
比丘班	Bhiksu Class
比丘之路	The Path of Bhiksus;The Road to Becoming a Bhiksu
比丘戒本	Bhiksus Vinaya
比睿山宗教首脑会议	the Religious Summit on Mt. Hiei
毕业典礼	graduation ceremony
毗尼	Vinaya
民众	the public
民间	Non-governmental
民宗局	Municipal Bureau of Ethic and Religious Affairs
民政局	Civil Affairs Bureau
民政部	Ministry of Civil Affairs
民族之脊梁	National Backbone
民族宗教侨务办公室/民宗侨办	the Ethnic,Religious and Overseas Chinese Affairs Office
民盟(“中国民主同盟”简称）	Central Committee of the China Democratic League
水包	water tank
水库	reservoir
水净化蓄水池	water purifing reservoir
水利工程	water conservancy project
永乐北藏	Yongle Northern Tripitaka
汉办	Chinese National Office;NOCFL;Hanban
汉地	Han area; China
汉传佛教	Chinese Buddhism
汉传佛教修学体系	Chinese Buddhism system for study and practice
汉传佛教讲经交流会	Beijing Chinese Buddhism Sutra Lecture Communication Meeting
江西省宗教文化交流协会	Jiangxi Province Religious Culture Communication Association
沙龙	Salon
沙弥戒	Novice Monk Precepts
沙弥班	the Novice Monks Class
沙弥/沙弥师	the novice monks
沙弥戒学班	The novice monk class of precepts study
河仁慈善基金会	He Ren Charity Foundation
河南佛教学院	Henan Buddhism College
法事	Dharma rites
法人	legal personality
法会	Dharma Assembly
法器	Dharma instruments
法堂	Dharma Hall
法宝	Dharma jewel
法师	Venerables
法物	Ritual Utensils
法门	method;means;way
法乳一脉	share the same Dharma origin and heritage
法会处	The Division of Dharma Assembly
法华法会	Lotus （Sutra） Dharma Assembly
法华经/妙法莲华经	Lotus Sutra
法同沙弥	novice monks
法喜充满	be filled with delight in Dharma
法律委员会	Law Committee
法相唯识学派	Consciousness-Only School;Dharma Character School
法缘讲堂	Fayuan Lecture Hall
法身慧命	monks' life of Dharma body and wisdom
法门寺	Famen Monastery
法门之光福慧营	Light of Famen Bliss & Wisdom Camp
法门寺佛学院	Famen Monastery Buddhist College
法雨教化	Dharma enlightenment
法鼓山	Taiwan Dharma Drum Mountain
注释	annotation
泰斗	a leading authority
泼墨挥毫	create calligraphy
洒净	purification ceremony
洒扫	sweeping and cleaning
流通	circulative
流光溢彩	a colorful, shining and brilliant scene
流连忘返	enjoy so much as to forget leaving
流通处	Circulation Department
济济一堂	a gathering of many people
浑然天成	bring out the best in each other; totally natural
浙江大学	Zhejiang University
浴佛	Buddha Bathing
浴佛偈	Hymn of  Buddha Bathing
浴佛节	Buddha Bathing Festival
海外华人	overseas Chinese
海峡两岸	Main land and Taiwan;both sides of the Taiwan Straits
海明寺	Haiming Monastery
海淀区区委组织部	Organization Department of CPC Haidian District Committee
海淀区政协	Haidian District Committee of the CPPCC
海淀区文化委员会	Haidian District Cultural Committee
海淀教堂（北京市基督教海淀堂简称）	Haidian Church
涅槃	Nirvana
消文	explain the text of sutras and scriptures.
涓涓清流	clear/pure streams
深广	deep and wide
深恩	tremendous favor
深见	profound view
深入经藏	go deep into the sutra pitaka
添加剂	additives
清众	monastics without posts
清净	quiet
清规	rules
清华大学	Tsinghua University
清华大学人文学院历史系暨思想文化研究所	Department of History and Institute of Humanities in Tsinghua University
清华大学政治经济学研究中心	Political Economy Research Center of Tsinghua University (TSU)
清华科技园	Tus Park ( Tsinghua University Science Park )
清明节	Qingming holiday
清明祭祖报恩法会	Qingming Worshipping Ancestors & Repaying Gratitude Dharma Assembly
清远山里香	Natural Mountain Incense
渊源	origin
渐次	step by step ; gradually; the stages
温经养血	warm the body and nourish the blood
源远流长	extensive and profound history
滤水囊	water filter
滴灌	drip irrigation
灯谜	lantern riddle
灾害救助中心	Calamity Salvation Centre
灾害联合救助联盟	Calamity Salvation Union
烦恼	afflictions； attachments
煮茶听琴	enjoyed tea and traditional music
熏习	learning and practicing
熏修	practice
熬狱沟	Aoyu Gully
爱国爱教	Love for the nation and religion
爱心粥	Free porridge
爱心捐赠仪式	Love Donation Ceremony
牛津大学圣安尼学院	St Anne’s College of University of Oxford
牧师	priest
牧牛图颂	Ten Ox-Herding Pictures
物欲	desire for material
物业中心	Property Center
班会	class meeting
班委	class committee
班务会	class routine meeting
班导法师	monastic class instructors
班长班	the monitors' class
理念	ideas
理事会	council
理事长	director
瑜伽派	Yogacara
瑜伽师地论	Treatise on the Stages of Yogic Practic
瑜伽行派	Yogacara school
瑞相	auspicious sign
甘露	nectar; Sweet Dew；learning Buddhism
甘之如饴	enjoy sth bitter as if it were malt sugar/willingly and gladly
生平	biographies
生死	birth and death
生命历程	life course
生命回顾	life review
生命导航	Life Navigation
生命教育专项基金	Special Fund to Life Education
生命时报	Life Times
用功	practice;study
用斋	have meals
用功办道	practice and promote the Dharma ;focus on Dharma study and practice
用功方向	the direction of cultivation
用心（名词）	diligence
田园生活	pastoral life
男众	males
畅所欲言	speak freely
留守儿童	left-behind children
疏文	text for commentaries
病障	illness
皈依	Refuge
皈依三宝	going for refuge to the Three Jewels
皈依仪式	refuge ceremony
盂兰盆供	the Ullambana offering
盂兰盆孝亲报恩法会	Ullambana Dharma Assembly aiming at expressing gratitude to parents and ancestors
盂兰盆法会	the Ullambana Dharma Assembly
益人社	Yiren Society
监院	Monastic Manager
监斋菩萨紧那罗王	the King of Kinnara, the dining supervisor Bodhisattva
相应	to correspond with
相得益彰	complement each other
相映成趣	contrast finely with each other
真善美	Truth, Goodness and Beauty
瞻礼	worship
瞻礼祈福大会	Grand Blessing and Worship Ceremony
知见	view
知客/知客师	Guest Prefect
石磨盘	stone mill
研学	research and study
研修处	Instructor Affairs Division
研究员	researcher
破土而出	sprout
破迷开悟	move away from confusion and toward enlightenment
示寂	Parinirvana
示现	samdarsana
示寂回向莲品高增法会	Dedicating Merits to A High Grade Reincarnation in the Pure Land
礼仪	etiquette
礼佛	pay respect to the Buddha;paying respect for Buddha
礼忏	repentance
礼拜	worship; religious service; week
礼请	invite
社会和谐	social harmony
社会大众	the public
社会科学	social science
社会道德	Social Morality
社区服务中心	Community Service Center
社科院梵文研习班	the Sanskrit seminar of the China Academy of Social Sciences
祈愿	pray
祈求	pray
祈祷	pray
祈福	pray for bliss
祈雨	pray for rain
祈愿文	prayer
祖先	ancestors
祖制	regulations
祖师	patriarch
祖师塔	patriarch’s stupa
祝祷	pray for
祥和	peaceful and harmonious
祭祖	worshipping ancestors
祭灶仪式	Kitchen God Worshipping
禅修	meditation
禅凳	Buddhist stools
禅坐	meditation
禅堂	Chan Room;Meditation Room;Zen Room
禅定	Buddhist meditation
禅师	Chan Master
禅意	the meaning of Zen;the meaning of Chan
禅法	Zen Buddhism
禅观	meditation
禅学会	Chan Study Union
福慧	bliss and wisdom
福报	great merits; good fortune;karmic reward
福田	help the public cultivate virtue
福祉	the Wellbeing;welfare;blessing
福州象峰崇福寺	Chongfu Monastery of Fuzhou's Xiang Mount
福建佛学院	Fujian Buddhist College
福建莆田广化寺	Putian Guanghua Monastery
福慧双修	to cultivate bliss and wisdom together
福慧增长	increase their bliss and wisdom
福田心耕	Cultivating Virtue by Heart
离妄得真	move gradually away from confusion and toward enlightenment and from delusion to truth; emerge from illusions and start to entire truth
离苦得乐	ridding people from suffering while helping them to be happy; avoid suffering and be happy
秉承	Adhere to;observe
秘书处	secretariat
秘书长	Secretary-General
积聚资粮	Merits Accumulation
究竟圆满	complete and perfect; true perfection
突击队	The storm troop
端午节	Dragon Boat Festival
端午爱国弘慈精进共修法会	Dharma Practice Assembly of Patriotism and Benevolence during the Dragon Boat Festival
第二佛陀	the second Buddha
等流	habit
答疑解惑	answer questions and resolve puzzles
答谢会	thanksgiving party
策励	encourage
策发	inspire;generate;develop
策修动员会	Mobilization Meeting
筹备会	preparatory meeting
粽子	rice dumplings
精舍	Vihara;sublime abode
精进	diligently; to strive; enhancement; virya
精进力	make great progress in; be more diligent in
精进共修	intense Dharma practice; intensive group practice
系主任	Dean
素斋	vegetarian food
素食	vegetarian food
红十字会	Red Cross; Red Cross Society
红牌位	red memorial tablets
红莲心栈	Honglian Charity Stands
纪录片	documentary
纳受	accept
纽约大学	New York University
纽约时报	The New York Times
线装图书	the thread-bound books
组团	group-forming
组织伦理	organizational means of ethics
组织架构	organizational structure
经书	Buddhist classics; classics
经典	classics and scriptures
经咒	sutras and mantra
经幢	Sutra Pillar; building with Buddhism lection and joss
经藏	Scripture Texts; sutra pitaka
经论	sutras and scriptures; scripture and commentary;sutras and treatises
经中之王	the King of All Sutras
经声佛号	sutra chanting and Buddha names reciting
结界	define certain limitations on the accommodations
结缘	be offered to people for free; become attached to; form ties of
结行	concluding meeting;closing ceremony;summary
结集	a collection of; Buddhist Council
结夏安居	Summer Retreat
绕塔	walk respectfully around the Stupa
绘本	art books ;Picture Book Fair
统稿	the overall editing
统战部	the United Front Work Department
统理大众	guide and manage the group
续佛慧命	carrying on the Buddha’swisdom life
维那	Cantor
维护世界和平法会	Dharma Assembly for the Maintenance of World Peace
缅怀	in commemoration of
缅甸国际上座部佛教大学	International Therevada Buddhist Missionary University of Myanmar
缅甸联邦共和国	the Republic of the Union of Myanmar
编目	Catalogue
编纂	compilation
缘念	chanting the verses
缘起	causation
美德	merit
美中教育服务机构	the Educational Services Exchange with China
美中经济贸易促进会	the US-China Economic & Trade Promotion Association
美国佛教协会	the Buddhist Association of the United States
美国佛教大藏经基金会	the Buddhist Tripitaka Foundation
美国友邦保险公司	American International Assurance Co, Ltd.
美国国际佛教联合会	the International Buddhist Association of the United States
美国基金会中心	the U.S. Foundation Center
美国大华盛顿地区市政管委会	Metropolitan Washington Council of Governments
美国宗教研究所	the Institute for the Study of American Religion
美国特许金融分析师协会（CFA)	Chartered Financial Analysts Institute
美国驻华大使馆	The U.S. Embassy in China
群策群力	pool the wisdom and efforts of everyone
羯磨	karma; karma ceremony
翻译中心	Translation Center
翻译产业论坛	Translation Industry Forum
老年组	the aged group
老年关怀组	the Caring for the Aged Group
老弱病残孕	elderly and disabled; old, weak,sick and disabled
老菩萨	elder laypeople;elderly laypeople
耶鲁大学	Yale University
联合国全球契约组织	the United Nations Global Compact
联席会	joint meeting
联络人	contact
聘任仪式	appointment ceremony
胜因	"great opportunity;
seeds"
胜缘	excellent karmic connections
胡思乱想	go off into wild flights of fancy
腊月	the 12th lunar month; the 12th moon
腊八粥	Laba Porridge; Laba congee
腊八节	Laba Festival
自律	Self-discipline
自恣	Pravarana
自利利他	to benefit themselves and others
自力更生	Self-reliance
自恣法	Pravarana
自我批评	self-criticism
自给自足	self sufficiency
自编自演	performed self-edited programs
至诚恭敬	sincere heart and deferential attitude
致辞	delivered a speech;give a speech
舍利	Sarira
舍利塔	Sarira Stupa
舍功德衣	forsaking Robes of Merits
艺文涵泳	Art-Literature Permeation
艾草	Asiatic wormwood
芦山栈	Lushan Charity Stand
芳草长亭	Fangcao Pavilion
英国广播公司	the British Broadcasting Corporation
草木神	ghosts and deities that inhabit the woods and grasses
荞麦茶	buckwheat tea
荣辱祸福	glories,shames,misfortunes and fortunes
药师经	the Sutra of the Medicine Buddha
药饵针石	medicine
荷担如来家业	undertake Buddha’s responsibilities
莅临	attend
莘莘学子	students
菜虫专区	special cabbageworm area
菩提	Bodhi
菩萨	Bodhisattvas
菩提心	Bodhi Mind
菩提伽耶	Bodhigaya
菩提教育基金会	Bodhi Education Foundation
菩提道次第广论	The Great Treatise on the Stages of the Path to Enlightenment
菩提道次第广论四家合注	Four Interwoven Annotations of The Great Treatise on the Stages of the Path to Enlightenment
菩提道次第略论	A Summary of the Stages of Path to Enlightenment
菩萨戒	Bodhisattva Precepts
菩萨戒本	Bodhisattva-pratimoksa
落下帷幕	ended
董事长	president
董事局主席	chairman
蒙山施食	Dharma services liberating ghosts and deceased spirits
蒙山超度	Dharma services that liberate ghosts and deceased spirits
藏书	collection of books
藏传佛教	Tibetan Buddhism
虔敬	devout
虔诚	piously
融通	integration
血肉相联	have the same bloodline
行堂	food service
行持	Practice
行谊	words and deeds
行为仪止	behaviors and conducts
行云流水	drifting clouds and flowing water
行住坐卧	walking, standing, sitting and lying down
衣物分拣	clothes  sorting
装帧设计	the binding and designing
西切斯特大学	West Chester University
西方三圣	the three Saints of the Pure Land
西来寺	Hsi Lai Temple
西来大学	University of the West
西游记	Journey to the West
西跨院	West Yard
西跨院老大殿遗址	the original hall site in the West Yard
要义	essential ideas
见行堂语	Jianxing Hall Quotation
见行堂/见行堂佛堂	Jianxing Hall
见面会	meet-and-greet
观待	observing dependent arising
观想	meditation;visulization
观照	keeping minds illuminated
观世音菩萨	BodhisattvaAvalokitesvara
观功念恩	Observing Merits and Remembering Kindness
视听资源	audio-visual resources
觉性	awareness；nature of awareness; Buddha nature;Caitanya
觉知	congnition
觉悟之道	The Path to Enlightenment
解读	give explanations for ;give interpretation of
解放军总政治部	General Political Department of People's Liberation Army
解行相应	to correspond understanding with behavior
言教	verbal teachings
讲授	give a lecture;teach
讲法	lecture of Bhddha Dhama；lecture
讲师团	the lecturer Mission; the Instructors Group
讲师班	lecturer's class;instructor's class
讲师课	course for lecturers ; course for instructors
证悟	enlightenment
译师	translation masters
译经	translation of Buddhist scriptures
译员交流会	Seminar for Translators and Interpreters
诞生日	birthday
诵戒	chanting Precepts
诵经	sutra chanting
请戒	invite guidance to Receive Precepts
请益	ask
诸佛本怀	the innate of all Bodhisattvas
诸佛菩萨	all Buddhas and Bodhisattvas
调心	moderate mind
调息	moderate breath
调柔	moderate
调研	research
调身	moderate body
财政部	the Ministry of Finance
贤二律师传	The Stories of Ven. Xian Er
贤德老人	virtuous elders
质朴	simple and plain
贪着	attachment to
资粮	merit;provision
资格证书	Qualification Certificates
资源共享	resources sharing
赞偈	the hymn of Saha Realm
赞叹	appreciation
赞颂	praise and chant
赞佛偈	Hymn of Praising Buddha
赞叹不已	give high praise
赞诵唱念	praise and chant
起心动念	rising and falling of our thoughts
超度	Dharma services to liberate ghosts
超荐	pray for survivors and those who died
超越自我	go beyond oneself
跏趺坐	Vajua Posture;corss legs on lotus position
践行	fulfil;practice
身心	body and mind
身病	body disease
身、口、意三业	three karmas from body, speech and mind
身、语行为	body and language behaviors
身体力行	practice what they preach
身心安稳	dwell body and mind
轨范	criterion;standard
轮值	on duty
辗转增上	progress interactively
辞亲割爱	Separation from relatives and loved ones
辞旧岁	Cleanse out the old year
过堂	monastic meals
过患	the problems and tribulations of life
迎归团	the welcome-back group
迎春祈福华严法会	Avatamsaka Dharma Assembly for Spring Greeting and Bliss Praying
进程	process
迦絺那衣	Sra-brkyan
送座	authorize the seat
送温暖活动	Sending Warmth
通启二师	Announcing and Inviting Two Masters
造福	bringing bliss to;benefit
道义	moral
道场	monastery
道心	resolve for the Bodhi Path
道念	aspirations and vows to follow the Bodhi Path;resolve for the Bodhi Path
道总	the general presentation of the Bodhi path
道教	Taoism
道风	Buddhist ethics
道德峰	Morality Peak
道德重建	moral reconstruction
道教全真派祖庭	ancestral temple of Chuan Chen School of Chinese Taoism
道教宫观	Taoist Temple
道次第	Stages of Path; Gradual Path
道次纲要	Outline of the Stages of the Buddha’s Path
道诜寺	Dosunsa Temple
遗志	unfinished work
邪教	Cults
邻里	neighborhood
部组	departments
酥油灯	butter lamps
醍醐	Enlightened
释迦牟尼佛	SakyamuniBuddha
释迦牟尼佛出家日	SakyamuniBuddha’s Renunciation Day
释迦牟尼佛出家日法会	Dharma Assembly commemorating Shakyamuni Buddha's Renunciation
释迦牟尼佛圣诞	the auspicious birthday of  Shakyamuni Buddha
释迦牟尼佛成道日	the day Shakyamuni Buddha attained his Enlightenment
重阳	Double Ninth Festival
重阳明星	Stars of the Double Ninth Festival
重阳暖心孝亲敬老法会	Double Ninth Festival Warm Heart Dharma Assembly for promoting filial piety and respecting elders
重阳暖心法会	Double Ninth Festival Warm Heart Dharma Assembly
金佛山佛教文化研讨会	Jinfoshan Buddhist Culture Seminar
金光明最胜王经	Golden Light Sutra Recitation
金刚经	Diamond Sutra
金龙桥	Golden Dragon Bridge
钟鼓复鸣	the restoration of the bell and drum
钟鼓齐鸣	the mixed sound of ringing bells and beating drum
钵具	alms bowl
钵碗	alms bowl
银杏树	Ginkgo tree
银装素裹	silver-coated
长养	nurture
长老	Great Elder; Ven. Master
长久住世	continued existence;long life;long live
长寿面	Long Life Noodles
长效机制	long-term mechanism
长江商学院	Cheung Kong Graduate School of Business
长远发心	continuously aspired
门道房	gateway room
闭关	retreat
